Recipe Name,Station,Category,Group,Experience,Cooking Time (Ticks),Output,Output Count,Input,Input,Input,Input,Input,Input,Input,Input,Input
dropper,crafting_shaped,redstone,,,,dropper,1,cobblestone,cobblestone,cobblestone,cobblestone,,cobblestone,cobblestone,redstone,cobblestone
jungle_fence_gate,crafting_shaped,redstone,wooden_fence_gate,,,jungle_fence_gate,1,stick,jungle_planks,stick,stick,jungle_planks,stick,,,
stone_pressure_plate,crafting_shaped,redstone,,,,stone_pressure_plate,1,stone,stone,,,,,,,
bamboo_block,crafting_shapeless,building,,,,bamboo_block,1,bamboo,bamboo,bamboo,bamboo,bamboo,bamboo,bamboo,bamboo,bamboo
cooked_porkchop,smelting,food,,0.35,200,cooked_porkchop,1,porkchop,,,,,,,,
polished_deepslate_from_cobbled_deepslate_stonecutting,stonecutting,,,,,polished_deepslate,1,cobbled_deepslate,,,,,,,,
dye_pink_bed,crafting_shapeless,building,bed,,,pink_bed,1,pink_dye,black_bed;blue_bed;brown_bed;cyan_bed;gray_bed;green_bed;light_blue_bed;light_gray_bed;lime_bed;magenta_bed;orange_bed;purple_bed;red_bed;yellow_bed;white_bed,,,,,,,
dune_armor_trim_smithing_template,crafting_shaped,misc,,,,dune_armor_trim_smithing_template,2,diamond,dune_armor_trim_smithing_template,diamond,diamond,sandstone,diamond,diamond,diamond,diamond
diorite_stairs_from_diorite_stonecutting,stonecutting,,,,,diorite_stairs,1,diorite,,,,,,,,
acacia_door,crafting_shaped,redstone,wooden_door,,,acacia_door,3,acacia_planks,acacia_planks,,acacia_planks,acacia_planks,,acacia_planks,acacia_planks,
spruce_slab,crafting_shaped,building,wooden_slab,,,spruce_slab,6,spruce_planks,spruce_planks,spruce_planks,,,,,,
cracked_deepslate_bricks,smelting,blocks,,0.1,200,cracked_deepslate_bricks,1,deepslate_bricks,,,,,,,,
gray_terracotta,crafting_shaped,building,stained_terracotta,,,gray_terracotta,8,terracotta,terracotta,terracotta,terracotta,gray_dye,terracotta,terracotta,terracotta,terracotta
end_stone_brick_slab_from_end_stone_stonecutting,stonecutting,,,,,end_stone_brick_slab,2,end_stone,,,,,,,,
red_glazed_terracotta,smelting,blocks,,0.1,200,red_glazed_terracotta,1,red_terracotta,,,,,,,,
gold_ingot_from_blasting_gold_ore,blasting_clear,misc,gold_ingot,1.0,100,gold_ingot,1,gold_ore,,,,,,,,
cobbled_deepslate_stairs_from_cobbled_deepslate_stonecutting,stonecutting,,,,,cobbled_deepslate_stairs,1,cobbled_deepslate,,,,,,,,
cobbled_deepslate_wall_from_cobbled_deepslate_stonecutting,stonecutting,,,,,cobbled_deepslate_wall,1,cobbled_deepslate,,,,,,,,
smooth_red_sandstone_slab_from_smooth_red_sandstone_stonecutting,stonecutting,,,,,smooth_red_sandstone_slab,2,smooth_red_sandstone,,,,,,,,
brown_concrete_powder,crafting_shapeless,building,concrete_powder,,,brown_concrete_powder,8,brown_dye,sand,sand,sand,sand,gravel,gravel,gravel,gravel
pink_terracotta,crafting_shaped,building,stained_terracotta,,,pink_terracotta,8,terracotta,terracotta,terracotta,terracotta,pink_dye,terracotta,terracotta,terracotta,terracotta
sentry_armor_trim_smithing_template_smithing_trim,smithing_trim,,,,,,1,sentry_armor_trim_smithing_template,#trimmable_armor,#trim_materials,,,,,,
smooth_basalt,smelting,blocks,,0.1,200,smooth_basalt,1,basalt,,,,,,,,
furnace_minecart,crafting_shapeless,misc,,,,furnace_minecart,1,furnace,minecart,,,,,,,
dark_oak_planks,crafting_shapeless,building,planks,,,dark_oak_planks,4,#dark_oak_logs,,,,,,,,
deepslate_tile_stairs_from_deepslate_bricks_stonecutting,stonecutting,,,,,deepslate_tile_stairs,1,deepslate_bricks,,,,,,,,
bucket,crafting_shaped,misc,,,,bucket,1,iron_ingot,,iron_ingot,,iron_ingot,,,,
blue_stained_glass_pane,crafting_shaped,misc,stained_glass_pane,,,blue_stained_glass_pane,16,blue_stained_glass,blue_stained_glass,blue_stained_glass,blue_stained_glass,blue_stained_glass,blue_stained_glass,,,
lime_dye_from_smelting,smelting,misc,,0.1,200,lime_dye,1,sea_pickle,,,,,,,,
cobbled_deepslate_slab_from_cobbled_deepslate_stonecutting,stonecutting,,,,,cobbled_deepslate_slab,2,cobbled_deepslate,,,,,,,,
beehive,crafting_shaped,misc,,,,beehive,1,#planks,#planks,#planks,honeycomb,honeycomb,honeycomb,#planks,#planks,#planks
campfire,crafting_shaped,misc,,,,campfire,1,,stick,,stick,#coals,stick,#logs,#logs,#logs
dye_lime_wool,crafting_shapeless,building,wool,,,lime_wool,1,lime_dye,black_wool;blue_wool;brown_wool;cyan_wool;gray_wool;green_wool;light_blue_wool;light_gray_wool;magenta_wool;orange_wool;pink_wool;purple_wool;red_wool;yellow_wool;white_wool,,,,,,,
white_terracotta,crafting_shaped,building,stained_terracotta,,,white_terracotta,8,terracotta,terracotta,terracotta,terracotta,white_dye,terracotta,terracotta,terracotta,terracotta
chiseled_red_sandstone,crafting_shaped,building,,,,chiseled_red_sandstone,1,red_sandstone_slab,,,red_sandstone_slab,,,,,
